key_date,race_H,goal_H,field_cd_H,from_H,career_c_H,race_F,goal_F,field_cd_F,from_F,career_c_F
445_439_17,2,2,13,169,9,2,2,9,88,2
446_432_17,3,1,8,179,7,2,4,11,213,11
446_433_17,3,1,8,179,7,6,2,15,47,6
446_438_17,3,1,8,179,7,2,1,11,133,11
446_439_17,3,1,8,179,7,2,2,9,88,2
447_434_17,4,1,13,86,7,2,1,11,67,15
448_431_17,2,1,1,36,7,4,2,9,29,7
448_435_17,2,1,1,36,7,1,1,1,2,1
448_436_17,2,1,1,36,7,2,1,1,133,1
448_437_17,2,1,1,36,7,2,1,11,100,11
448_439_17,2,1,1,36,7,2,2,9,88,2
449_435_17,6,1,1,90,1,1,1,1,2,1
449_436_17,6,1,1,90,1,2,1,1,133,1
450_432_17,2,2,13,117,9,2,4,11,213,11
450_438_17,2,2,13,117,9,2,1,11,133,11
452_432_17,4,1,8,117,7,2,4,11,213,11
453_432_17,4,2,1,4,1,2,4,11,213,11
460_456_18,2,1,7,176,2,4,2,8,79,7
462_458_18,4,4,5,134,2,4,1,8,48,7
464_458_18,4,1,8,117,7,4,1,8,48,7
481_467_19,2,2,9,214,2,2,6,8,145,7
482_467_19,2,2,8,78,7,2,6,8,145,7
482_468_19,2,2,8,78,7,6,1,13,11,2
482_470_19,2,2,8,78,7,4,1,4,168,4
482_472_19,2,2,8,78,7,3,2,5,133,5
484_473_19,4,1,18,113,15,4,2,10,115,2
484_476_19,4,1,18,113,15,2,5,13,133,9
485_469_19,1,2,3,43,2,4,2,13,127,9
485_476_19,1,2,3,43,2,2,5,13,133,9
486_474_19,3,3,10,95,4,1,1,10,56,2
488_470_19,4,3,8,86,7,4,1,4,168,4
488_480_19,4,3,8,86,7,2,1,5,2,5
489_467_19,2,3,8,110,7,2,6,8,145,7
489_469_19,2,3,8,110,7,4,2,13,127,9
489_470_19,2,3,8,110,7,4,1,4,168,4
489_471_19,2,3,8,110,7,4,2,4,211,4
489_474_19,2,3,8,110,7,1,1,10,56,2
489_475_19,2,3,8,110,7,3,1,13,165,9
489_478_19,2,3,8,110,7,2,1,13,130,7
489_480_19,2,3,8,110,7,2,1,5,2,5
490_467_19,2,2,14,25,6,2,6,8,145,7
491_467_19,3,2,8,2,7,2,6,8,145,7
491_469_19,3,2,8,2,7,4,2,13,127,9
491_470_19,3,2,8,2,7,4,1,4,168,4
491_478_19,3,2,8,2,7,2,1,13,130,7
492_467_19,6,2,10,89,2,2,6,8,145,7
492_468_19,6,2,10,89,2,6,1,13,11,2
492_469_19,6,2,10,89,2,4,2,13,127,9
492_472_19,6,2,10,89,2,3,2,5,133,5
492_474_19,6,2,10,89,2,1,1,10,56,2
492_475_19,6,2,10,89,2,3,1,13,165,9
492_480_19,6,2,10,89,2,2,1,5,2,5
493_469_19,4,5,13,184,13,4,2,13,127,9
494_468_19,2,4,6,178,6,6,1,13,11,2
494_474_19,2,4,6,178,6,1,1,10,56,2
495_467_19,6,2,15,30,6,2,6,8,145,7
495_470_19,6,2,15,30,6,4,1,4,168,4
504_499_20,2,2,5,67,7,2,5,10,90,2
504_501_20,2,2,5,67,7,2,5,10,185,2
505_496_20,4,3,6,204,6,4,1,5,149,2
507_500_20,4,5,2,78,2,1,1,10,206,2
508_499_20,4,3,2,90,10,2,5,10,90,2
531_524_21,4,2,5,103,2,4,2,4,69,4
532_523_21,4,1,5,133,5,4,2,9,76,10
532_524_21,4,1,5,133,5,4,2,4,69,4
532_529_21,4,1,5,133,5,4,2,5,167,5
533_510_21,2,2,5,110,2,3,2,8,118,2
533_513_21,2,2,5,110,2,2,2,15,78,6
534_511_21,6,3,5,16,5,4,2,5,86,7
534_521_21,6,3,5,16,5,2,1,11,215,9
534_524_21,6,3,5,16,5,4,2,4,69,4
534_526_21,6,3,5,16,5,3,1,11,2,11
534_529_21,6,3,5,16,5,4,2,5,167,5
534_530_21,6,3,5,16,5,4,2,5,76,10
535_509_21,2,1,10,67,2,4,2,6,49,16
535_511_21,2,1,10,67,2,4,2,5,86,7
535_513_21,2,1,10,67,2,2,2,15,78,6
535_515_21,2,1,10,67,2,2,1,6,132,16
535_516_21,2,1,10,67,2,4,2,10,133,2
535_518_21,2,1,10,67,2,2,5,15,12,6
535_521_21,2,1,10,67,2,2,1,11,215,9
535_524_21,2,1,10,67,2,4,2,4,69,4
536_510_21,2,1,2,39,7,3,2,8,118,2
536_516_21,2,1,2,39,7,4,2,10,133,2
536_524_21,2,1,2,39,7,4,2,4,69,4
537_509_21,4,1,5,10,1,4,2,6,49,16
537_513_21,4,1,5,10,1,2,2,15,78,6
538_509_21,2,1,5,73,7,4,2,6,49,16
538_510_21,2,1,5,73,7,3,2,8,118,2
538_521_21,2,1,5,73,7,2,1,11,215,9
538_524_21,2,1,5,73,7,4,2,4,69,4
539_522_21,2,1,1,138,1,2,1,1,159,1
539_524_21,2,1,1,138,1,4,2,4,69,4
540_510_21,2,1,5,128,2,3,2,8,118,2
541_516_21,4,3,5,106,7,4,2,10,133,2
542_511_21,4,2,5,208,7,4,2,5,86,7
542_524_21,4,2,5,208,7,4,2,4,69,4
542_526_21,4,2,5,208,7,3,1,11,2,11
544_522_21,4,1,5,165,4,2,1,1,159,1
544_523_21,4,1,5,165,4,4,2,9,76,10
544_530_21,4,1,5,165,4,4,2,5,76,10
545_521_21,2,1,5,36,4,2,1,11,215,9
545_522_21,2,1,5,36,4,2,1,1,159,1
546_509_21,2,2,8,188,7,4,2,6,49,16
546_510_21,2,2,8,188,7,3,2,8,118,2
546_513_21,2,2,8,188,7,2,2,15,78,6
546_518_21,2,2,8,188,7,2,5,15,12,6
546_522_21,2,2,8,188,7,2,1,1,159,1
546_524_21,2,2,8,188,7,4,2,4,69,4
547_512_21,2,2,8,173,7,2,1,15,134,6
547_518_21,2,2,8,173,7,2,5,15,12,6
547_524_21,2,2,8,173,7,4,2,4,69,4
548_509_21,2,1,8,200,7,4,2,6,49,16
548_511_21,2,1,8,200,7,4,2,5,86,7
548_518_21,2,1,8,200,7,2,5,15,12,6
548_521_21,2,1,8,200,7,2,1,11,215,9
548_524_21,2,1,8,200,7,4,2,4,69,4
549_510_21,2,1,8,39,7,3,2,8,118,2
549_516_21,2,1,8,39,7,4,2,10,133,2
549_518_21,2,1,8,39,7,2,5,15,12,6
549_522_21,2,1,8,39,7,2,1,1,159,1
549_524_21,2,1,8,39,7,4,2,4,69,4
550_513_21,2,2,8,220,7,2,2,15,78,6
550_518_21,2,2,8,220,7,2,5,15,12,6
550_521_21,2,2,8,220,7,2,1,11,215,9
550_524_21,2,2,8,220,7,4,2,4,69,4
551_516_21,1,1,8,64,7,4,2,10,133,2
551_521_21,1,1,8,64,7,2,1,11,215,9
552_509_21,2,1,18,219,15,4,2,6,49,16
552_510_21,2,1,18,219,15,3,2,8,118,2
552_513_21,2,1,18,219,15,2,2,15,78,6
552_515_21,2,1,18,219,15,2,1,6,132,16
552_516_21,2,1,18,219,15,4,2,10,133,2
552_524_21,2,1,18,219,15,4,2,4,69,4
